state_id,county_id,county_name,pop_under5,pop_over65,nativity_mex,households_under18,hh_size,poverty_acs,med_hhinc_acs,owner_occ_hu,renters_acs,vacancy_rental,vehicles_no,med_rent_pct,health_uninsured,internet_no_comp
33,017,Strafford County,3040,1358,32,13875,49831,10785,72682,49831,16546,971,729,16546,607,43882
33,019,Sullivan County,1042,721,49,4188,17281,4768,63760,17281,4710,354,230,4710,406,14545
34,001,Atlantic County,7383,2997,6209,29960,101103,34891,63680,101103,33446,2714,2488,33446,2088,86359
34,003,Bergen County,25046,9818,4918,111015,342059,59266,104623,342059,120456,4407,6660,120456,8483,312101
34,005,Burlington County,11717,4244,957,52731,168195,25672,90329,168195,41852,2105,3054,41852,2633,152723
34,007,Camden County,15786,5247,5447,61360,190660,61612,70957,190660,65663,3279,4875,65663,4080,164834
34,009,Cape May County,2226,1335,1200,10195,40670,9013,72385,40670,8947,5273,1027,8947,521,35368
34,011,Cumberland County,4904,1475,7066,16799,50947,22159,55709,50947,17178,792,1021,17178,1663,41838
34,013,Essex County,26990,7111,3484,99920,290680,119131,63959,290680,161665,8113,6805,161665,11630,239889
34,015,Gloucester County,7756,2915,913,34936,106376,20017,89056,106376,20801,888,2029,20801,1381,95501
34,017,Hudson County,23888,5496,9993,79145,261289,94290,75062,261289,176747,8162,11604,176747,7727,228815
34,019,Hunterdon County,2510,1491,562,13962,47647,4738,117858,47647,7669,304,768,7669,573,43782
34,021,Mercer County,10610,3487,2173,42376,131440,39057,83306,131440,47972,1713,2653,47972,2640,111592
34,023,Middlesex County,24439,7987,12571,101956,287971,69102,91731,287971,104592,3478,5693,104592,6791,253815
34,025,Monmouth County,15683,6930,9296,71023,238235,39926,103523,238235,61119,2081,5006,61119,4803,215759
34,027,Morris County,12703,5612,3412,60676,184162,23240,117298,184162,48175,2390,2806,48175,3031,170752
34,029,Ocean County,22074,7065,6573,62384,229454,58802,72679,229454,45137,1435,7588,45137,3018,192799
34,031,Passaic County,17284,4675,18321,61323,168681,73484,73562,168681,80382,1970,3248,80382,7363,145561
34,033,Salem County,1715,618,325,6947,24414,8440,64234,24414,7540,505,471,7540,398,20310
34,035,Somerset County,8701,3521,2528,40770,119721,16612,116510,119721,29055,1062,1949,29055,2908,111816
34,037,Sussex County,3325,1748,138,16325,54166,7233,96222,54166,8878,983,898,8878,725,49251
34,039,Union County,17933,5281,5349,69983,191862,48276,82644,191862,78847,2758,3779,78847,8009,166376
34,041,Warren County,2434,1149,328,11931,42322,7743,83497,42322,11506,323,905,11506,813,37349
35,001,Bernalillo County,19362,7543,37347,74428,272528,106645,54308,272528,99999,7726,4414,99999,6641,226287
35,003,Catron County,24,90,0,248,1546,865,36607,1546,194,17,12,194,45,889
35,005,Chaves County,2214,618,6981,8377,23641,12128,46254,23641,7508,811,377,7508,1268,17266
35,006,Cibola County,874,211,598,2874,8408,6479,44731,8408,2390,131,284,2390,258,5398
35,007,Colfax County,284,124,313,1388,5946,2473,36937,5946,1915,296,140,1915,98,4250
35,009,Curry County,2045,347,3771,6836,18620,9154,48903,18620,8119,654,161,8119,591,15679
35,011,De Baca County,131,31,14,163,554,275,31532,554,210,0,1,210,20,381
35,013,Doña Ana County,7102,2438,30423,26000,79421,52635,44024,79421,28105,2529,1409,28105,3150,61440
35,015,Eddy County,2249,517,3162,7618,21548,9118,65000,21548,6460,545,522,6460,1074,17335
35,017,Grant County,756,387,544,2211,11496,6741,37453,11496,3866,334,325,3866,73,9039
35,019,Guadalupe County,132,81,44,174,1345,565,31061,1345,435,5,13,435,170,693
35,021,Harding County,1,3,31,24,176,52,32500,176,75,3,7,75,0,91
35,023,Hidalgo County,146,55,251,482,1742,908,44722,1742,525,62,24,525,4,1277
35,025,Lea County,2841,557,10972,9723,22868,10997,61867,22868,7313,1063,261,7313,1618,18434
35,027,Lincoln County,362,481,964,1648,8478,2431,44939,8478,2072,812,85,2072,279,6526
35,028,Los Alamos County,546,294,153,2247,7895,765,119266,7895,2120,67,55,2120,72,7230
35,029,Luna County,891,174,3579,2875,8911,5684,32251,8911,3360,171,234,3360,297,6178
35,031,McKinley County,2497,436,955,8003,21247,25058,36179,21247,6794,263,1454,6794,2773,10050
35,033,Mora County,0,68,65,297,2278,940,29458,2278,265,30,94,265,10,1038
35,035,Otero County,2281,443,4115,7178,23112,12050,45032,23112,7875,987,562,7875,695,19151
35,037,Quay County,137,130,113,670,3182,1762,33962,3182,976,85,41,976,171,1911
35,039,Rio Arriba County,1197,369,1116,3315,13035,8816,42264,13035,3034,208,306,3034,499,7907
35,041,Roosevelt County,650,244,2026,1991,6785,4220,42917,6785,2823,411,162,2823,302,5516
35,043,Sandoval County,3994,1692,3256,16264,52504,17452,65071,52504,10523,900,824,10523,2037,44945
35,045,San Juan County,4237,1192,2141,15440,43582,26884,47643,43582,12711,1425,1273,12711,2848,29052
35,047,San Miguel County,613,529,592,3103,11942,6698,32310,11942,3589,297,349,3589,5,7647
35,049,Santa Fe County,3236,2462,10424,13971,63152,19265,60668,63152,18205,1139,911,18205,2401,51768
35,051,Sierra County,230,104,237,975,5402,2544,33873,5402,1442,217,247,1442,4,3710
35,053,Socorro County,462,260,579,1279,5002,4971,40297,5002,1169,348,146,1169,142,2965
35,055,Taos County,670,329,705,2481,12592,5663,41973,12592,2908,1042,318,2908,207,9342
35,057,Torrance County,256,191,507,1800,5957,3658,38240,5957,1048,48,36,1048,175,4009
35,059,Union County,66,60,111,299,1404,729,35484,1404,525,37,20,525,67,942
35,061,Valencia County,2130,885,3539,7923,26456,12401,50801,26456,5120,573,638,5120,947,18902
36,001,Albany County,7888,3338,557,32546,128122,35070,68327,128122,56293,2556,2471,56293,721,110072
36,003,Allegany County,1216,597,16,5265,18028,6917,51227,18028,3762,395,579,3762,926,14149
36,005,Bronx County,52079,11479,36892,185336,510135,375410,41895,510135,407810,8197,24524,407810,8326,408213
36,007,Broome County,5145,2338,241,19782,79528,33812,52237,79528,27748,2398,2198,27748,826,66813
36,009,Cattaraugus County,2366,932,105,9196,31999,12561,50700,31999,8909,622,979,8909,1251,24215
36,011,Cayuga County,1950,1089,54,8386,30870,8929,57985,30870,8984,551,669,8984,641,25211
36,013,Chautauqua County,3483,1799,258,13992,53625,21722,48315,53625,16830,953,1648,16830,1849,42692
36,015,Chemung County,2371,1051,80,9817,34328,11670,54883,34328,11259,1041,656,11259,823,28186
36,017,Chenango County,1300,653,114,5427,20834,6021,51756,20834,5260,205,499,5260,215,17076
36,019,Clinton County,1994,1015,62,8022,31557,8957,59510,31557,10136,270,860,10136,220,25982
36,021,Columbia County,1090,882,360,6103,25323,5915,68750,25323,6793,204,574,6793,346,20824
36,023,Cortland County,1243,574,121,4957,17980,6365,59194,17980,6074,215,294,6074,291,14147
36,025,Delaware County,890,591,158,4375,18930,6862,49945,18930,4634,368,519,4634,320,15034
36,027,Dutchess County,6823,3962,4225,30685,110095,24360,81842,110095,35015,1739,2235,35015,1496,98621
36,029,Erie County,25719,10337,943,100820,392910,122418,59464,392910,138213,5760,10271,138213,3117,331714
36,031,Essex County,818,495,71,4254,16182,3520,58109,16182,3819,241,395,3819,100,13148
36,033,Franklin County,1233,456,65,5293,18880,7987,52905,18880,5273,290,441,5273,804,14874
36,035,Fulton County,1473,607,12,6386,22406,7755,51663,22406,6794,184,471,6794,217,17861
36,037,Genesee County,1520,772,236,6406,24174,6109,60635,24174,6673,162,837,6673,170,19982
36,039,Greene County,1085,827,162,4048,17681,5085,56681,17681,4131,143,599,4131,242,13050
36,041,Hamilton County,63,51,0,233,1416,383,60625,1416,208,35,38,208,8,1126
36,043,Herkimer County,1673,793,21,6458,25093,8261,58438,25093,6446,217,822,6446,445,20909
